benchmark	iter	ns/op	B/op	allocs/op
BenchmarkDecryptKeyWithIncreasingPolicyLength/len_1-8         	     100	  23877550 ns/op	     432 B/op	      16 allocs/op
BenchmarkDecryptKeyWithIncreasingPolicyLength/len_2-8         	      50	  27436948 ns/op	     432 B/op	      16 allocs/op
BenchmarkDecryptKeyWithIncreasingPolicyLength/len_3-8         	      50	  27937483 ns/op	     435 B/op	      16 allocs/op
BenchmarkDecryptKeyWithIncreasingPolicyLength/len_4-8         	      50	  29779052 ns/op	     435 B/op	      16 allocs/op
BenchmarkDecryptKeyWithIncreasingPolicyLength/len_5-8         	      50	  32440538 ns/op	     435 B/op	      16 allocs/op
BenchmarkDecryptKeyWithIncreasingPolicyLength/len_6-8         	      50	  36218020 ns/op	     435 B/op	      16 allocs/op
BenchmarkDecryptKeyWithIncreasingPolicyLength/len_7-8         	      50	  36545069 ns/op	     432 B/op	      16 allocs/op
BenchmarkDecryptKeyWithIncreasingPolicyLength/len_8-8         	      30	  41648506 ns/op	     432 B/op	      16 allocs/op
BenchmarkDecryptKeyWithIncreasingPolicyLength/len_9-8         	      30	  42438554 ns/op	     432 B/op	      16 allocs/op
BenchmarkDecryptKeyWithIncreasingPolicyLength/len_10-8        	      50	  45224028 ns/op	     434 B/op	      16 allocs/op
BenchmarkDecryptKeyWithIncreasingPolicyLength/len_11-8        	      30	  46457540 ns/op	     432 B/op	      16 allocs/op
BenchmarkDecryptKeyWithIncreasingPolicyLength/len_12-8        	      30	  48311243 ns/op	     432 B/op	      16 allocs/op
BenchmarkDecryptKeyWithIncreasingPolicyLength/len_13-8        	      30	  49780510 ns/op	     432 B/op	      16 allocs/op
BenchmarkDecryptKeyWithIncreasingPolicyLength/len_14-8        	      20	  53654459 ns/op	     432 B/op	      16 allocs/op
BenchmarkDecryptKeyWithIncreasingPolicyLength/len_15-8        	      20	  55950435 ns/op	     432 B/op	      16 allocs/op
BenchmarkDecryptKeyWithIncreasingPolicyLength/len_16-8        	      30	  61632429 ns/op	     432 B/op	      16 allocs/op
BenchmarkDecryptKeyWithIncreasingPolicyLength/len_17-8        	      30	  60361204 ns/op	     432 B/op	      16 allocs/op
BenchmarkDecryptKeyWithIncreasingPolicyLength/len_18-8        	      20	  61899174 ns/op	     432 B/op	      16 allocs/op
BenchmarkDecryptKeyWithIncreasingPolicyLength/len_19-8        	      20	  66115044 ns/op	     432 B/op	      16 allocs/op
BenchmarkDecryptKeyWithIncreasingPolicyLength/len_20-8        	      20	  69566771 ns/op	     432 B/op	      16 allocs/op
BenchmarkDecryptKeyWithIncreasingPolicyLength/len_21-8        	      20	  75402185 ns/op	     432 B/op	      16 allocs/op
BenchmarkDecryptKeyWithIncreasingPolicyLength/len_22-8        	      20	  76326106 ns/op	     432 B/op	      16 allocs/op
BenchmarkDecryptKeyWithIncreasingPolicyLength/len_23-8        	      20	  78549288 ns/op	     432 B/op	      16 allocs/op
BenchmarkDecryptKeyWithIncreasingPolicyLength/len_24-8        	      20	  82120358 ns/op	     432 B/op	      16 allocs/op
BenchmarkDecryptKeyWithIncreasingPolicyLength/len_25-8        	      20	  84861273 ns/op	     432 B/op	      16 allocs/op
BenchmarkDecryptKeyWithIncreasingPolicyLength/len_26-8        	      20	  95084941 ns/op	     432 B/op	      16 allocs/op
BenchmarkDecryptKeyWithIncreasingPolicyLength/len_27-8        	      20	  88755221 ns/op	     432 B/op	      16 allocs/op
BenchmarkDecryptKeyWithIncreasingPolicyLength/len_28-8        	      20	  89439655 ns/op	     432 B/op	      16 allocs/op
BenchmarkDecryptKeyWithIncreasingPolicyLength/len_29-8        	      20	  97584216 ns/op	     432 B/op	      16 allocs/op
BenchmarkDecryptKeyWithIncreasingPolicyLength/len_30-8        	      20	  90935593 ns/op	     432 B/op	      16 allocs/op
BenchmarkDecryptKeyWithIncreasingPolicyLength/len_31-8        	      20	  97400782 ns/op	     432 B/op	      16 allocs/op
BenchmarkDecryptKeyWithIncreasingPolicyLength/len_32-8        	      20	  99261865 ns/op	     432 B/op	      16 allocs/op
BenchmarkDecryptKeyWithIncreasingPolicyLength/len_33-8        	      20	 102116977 ns/op	     432 B/op	      16 allocs/op
BenchmarkDecryptKeyWithIncreasingPolicyLength/len_34-8        	      20	 104637061 ns/op	     432 B/op	      16 allocs/op
BenchmarkDecryptKeyWithIncreasingPolicyLength/len_35-8        	      10	 107258312 ns/op	     432 B/op	      16 allocs/op
BenchmarkDecryptKeyWithIncreasingPolicyLength/len_36-8        	      10	 105385577 ns/op	     432 B/op	      16 allocs/op
BenchmarkDecryptKeyWithIncreasingPolicyLength/len_37-8        	      10	 109383393 ns/op	     432 B/op	      16 allocs/op
BenchmarkDecryptKeyWithIncreasingPolicyLength/len_38-8        	      10	 111157218 ns/op	     432 B/op	      16 allocs/op
BenchmarkDecryptKeyWithIncreasingPolicyLength/len_39-8        	      10	 113245177 ns/op	     432 B/op	      16 allocs/op
BenchmarkDecryptKeyWithIncreasingPolicyLength/len_40-8        	      10	 114572938 ns/op	     432 B/op	      16 allocs/op
BenchmarkDecryptKeyWithIncreasingPolicyLength/len_41-8        	      10	 116690624 ns/op	     432 B/op	      16 allocs/op
BenchmarkDecryptKeyWithIncreasingPolicyLength/len_42-8        	      10	 126933290 ns/op	     432 B/op	      16 allocs/op
BenchmarkDecryptKeyWithIncreasingPolicyLength/len_43-8        	      10	 129180049 ns/op	     432 B/op	      16 allocs/op
BenchmarkDecryptKeyWithIncreasingPolicyLength/len_44-8        	      10	 124696395 ns/op	     432 B/op	      16 allocs/op
BenchmarkDecryptKeyWithIncreasingPolicyLength/len_45-8        	      10	 129889387 ns/op	     432 B/op	      16 allocs/op
BenchmarkDecryptKeyWithIncreasingPolicyLength/len_46-8        	      10	 129163448 ns/op	     432 B/op	      16 allocs/op
BenchmarkDecryptKeyWithIncreasingPolicyLength/len_47-8        	      10	 130145424 ns/op	     432 B/op	      16 allocs/op
BenchmarkDecryptKeyWithIncreasingPolicyLength/len_48-8        	      10	 134513509 ns/op	     432 B/op	      16 allocs/op
BenchmarkDecryptKeyWithIncreasingPolicyLength/len_49-8        	      10	 141284579 ns/op	     432 B/op	      16 allocs/op
BenchmarkDecryptKeyWithIncreasingPolicyLength/len_50-8        	      10	 142541410 ns/op	     432 B/op	      16 allocs/op
