benchmark	iter	ns/op	B/op	allocs/op
BenchmarkEncryptKeyBytesWithIncreasingPolicyLength/len_1-8         	      20	  53813409 ns/op	 1057711 B/op	      17 allocs/op
BenchmarkEncryptKeyBytesWithIncreasingPolicyLength/len_2-8         	      20	  60990892 ns/op	 1058016 B/op	      17 allocs/op
BenchmarkEncryptKeyBytesWithIncreasingPolicyLength/len_3-8         	      20	  75458353 ns/op	 1058268 B/op	      17 allocs/op
BenchmarkEncryptKeyBytesWithIncreasingPolicyLength/len_4-8         	      20	  87595501 ns/op	 1058655 B/op	      17 allocs/op
BenchmarkEncryptKeyBytesWithIncreasingPolicyLength/len_5-8         	      20	  95539044 ns/op	 1058917 B/op	      17 allocs/op
BenchmarkEncryptKeyBytesWithIncreasingPolicyLength/len_6-8         	      20	 106754533 ns/op	 1059156 B/op	      17 allocs/op
BenchmarkEncryptKeyBytesWithIncreasingPolicyLength/len_7-8         	      10	 113027058 ns/op	 1059417 B/op	      17 allocs/op
BenchmarkEncryptKeyBytesWithIncreasingPolicyLength/len_8-8         	      10	 124885192 ns/op	 1059801 B/op	      17 allocs/op
BenchmarkEncryptKeyBytesWithIncreasingPolicyLength/len_9-8         	      10	 137342434 ns/op	 1060185 B/op	      17 allocs/op
BenchmarkEncryptKeyBytesWithIncreasingPolicyLength/len_10-8        	      10	 145109811 ns/op	 1060304 B/op	      17 allocs/op
BenchmarkEncryptKeyBytesWithIncreasingPolicyLength/len_11-8        	      10	 156025588 ns/op	 1060560 B/op	      17 allocs/op
BenchmarkEncryptKeyBytesWithIncreasingPolicyLength/len_12-8        	      10	 168001095 ns/op	 1061209 B/op	      17 allocs/op
BenchmarkEncryptKeyBytesWithIncreasingPolicyLength/len_13-8        	      10	 175225372 ns/op	 1061200 B/op	      17 allocs/op
BenchmarkEncryptKeyBytesWithIncreasingPolicyLength/len_14-8        	      10	 199225093 ns/op	 1061968 B/op	      17 allocs/op
BenchmarkEncryptKeyBytesWithIncreasingPolicyLength/len_15-8        	       5	 210745836 ns/op	 1061987 B/op	      17 allocs/op
BenchmarkEncryptKeyBytesWithIncreasingPolicyLength/len_16-8        	       5	 217930610 ns/op	 1061968 B/op	      17 allocs/op
BenchmarkEncryptKeyBytesWithIncreasingPolicyLength/len_17-8        	       5	 238015753 ns/op	 1062480 B/op	      17 allocs/op
BenchmarkEncryptKeyBytesWithIncreasingPolicyLength/len_18-8        	       5	 246375810 ns/op	 1062518 B/op	      17 allocs/op
BenchmarkEncryptKeyBytesWithIncreasingPolicyLength/len_19-8        	       5	 247113853 ns/op	 1063248 B/op	      17 allocs/op
BenchmarkEncryptKeyBytesWithIncreasingPolicyLength/len_20-8        	       5	 265735133 ns/op	 1063267 B/op	      17 allocs/op
BenchmarkEncryptKeyBytesWithIncreasingPolicyLength/len_21-8        	       5	 267512527 ns/op	 1063632 B/op	      17 allocs/op
BenchmarkEncryptKeyBytesWithIncreasingPolicyLength/len_22-8        	       5	 294918041 ns/op	 1063651 B/op	      17 allocs/op
BenchmarkEncryptKeyBytesWithIncreasingPolicyLength/len_23-8        	       5	 295388640 ns/op	 1063936 B/op	      18 allocs/op
BenchmarkEncryptKeyBytesWithIncreasingPolicyLength/len_24-8        	       5	 293860745 ns/op	 1065296 B/op	      17 allocs/op
BenchmarkEncryptKeyBytesWithIncreasingPolicyLength/len_25-8        	       3	 355415200 ns/op	 1065296 B/op	      17 allocs/op
BenchmarkEncryptKeyBytesWithIncreasingPolicyLength/len_26-8        	       5	 313148203 ns/op	 1065344 B/op	      18 allocs/op
BenchmarkEncryptKeyBytesWithIncreasingPolicyLength/len_27-8        	       5	 315000012 ns/op	 1065315 B/op	      17 allocs/op
BenchmarkEncryptKeyBytesWithIncreasingPolicyLength/len_28-8        	       5	 330797852 ns/op	 1066595 B/op	      17 allocs/op
BenchmarkEncryptKeyBytesWithIncreasingPolicyLength/len_29-8        	       3	 351390938 ns/op	 1066576 B/op	      17 allocs/op
BenchmarkEncryptKeyBytesWithIncreasingPolicyLength/len_30-8        	       3	 344429324 ns/op	 1066576 B/op	      17 allocs/op
BenchmarkEncryptKeyBytesWithIncreasingPolicyLength/len_31-8        	       3	 396231711 ns/op	 1066576 B/op	      17 allocs/op
BenchmarkEncryptKeyBytesWithIncreasingPolicyLength/len_32-8        	       3	 380254754 ns/op	 1066576 B/op	      17 allocs/op
BenchmarkEncryptKeyBytesWithIncreasingPolicyLength/len_33-8        	       3	 406037380 ns/op	 1066912 B/op	      18 allocs/op
BenchmarkEncryptKeyBytesWithIncreasingPolicyLength/len_34-8        	       3	 408794411 ns/op	 1067344 B/op	      17 allocs/op
BenchmarkEncryptKeyBytesWithIncreasingPolicyLength/len_35-8        	       3	 404627071 ns/op	 1067344 B/op	      17 allocs/op
BenchmarkEncryptKeyBytesWithIncreasingPolicyLength/len_36-8        	       3	 422877315 ns/op	 1068016 B/op	      17 allocs/op
BenchmarkEncryptKeyBytesWithIncreasingPolicyLength/len_37-8        	       3	 476144407 ns/op	 1067984 B/op	      17 allocs/op
BenchmarkEncryptKeyBytesWithIncreasingPolicyLength/len_38-8        	       3	 454315692 ns/op	 1069440 B/op	      18 allocs/op
