benchmark	iter	ns/op	B/op	allocs/op
BenchmarkEncryptKeyWithIncreasingPolicyLengthNoAES/len_1-8         	      30	  45307258 ns/op	     952 B/op	      14 allocs/op
BenchmarkEncryptKeyWithIncreasingPolicyLengthNoAES/len_2-8         	      30	  53577244 ns/op	    1264 B/op	      14 allocs/op
BenchmarkEncryptKeyWithIncreasingPolicyLengthNoAES/len_3-8         	      20	  65924576 ns/op	    1532 B/op	      14 allocs/op
BenchmarkEncryptKeyWithIncreasingPolicyLengthNoAES/len_4-8         	      20	  77753111 ns/op	    1778 B/op	      14 allocs/op
BenchmarkEncryptKeyWithIncreasingPolicyLengthNoAES/len_5-8         	      20	  93107723 ns/op	    2172 B/op	      14 allocs/op
BenchmarkEncryptKeyWithIncreasingPolicyLengthNoAES/len_6-8         	      20	  97444379 ns/op	    2416 B/op	      14 allocs/op
BenchmarkEncryptKeyWithIncreasingPolicyLengthNoAES/len_7-8         	      10	 108319932 ns/op	    2672 B/op	      14 allocs/op
BenchmarkEncryptKeyWithIncreasingPolicyLengthNoAES/len_8-8         	      10	 118298623 ns/op	    3056 B/op	      14 allocs/op
BenchmarkEncryptKeyWithIncreasingPolicyLengthNoAES/len_9-8         	      10	 131132935 ns/op	    3440 B/op	      14 allocs/op
BenchmarkEncryptKeyWithIncreasingPolicyLengthNoAES/len_10-8        	      10	 137976158 ns/op	    3568 B/op	      14 allocs/op
BenchmarkEncryptKeyWithIncreasingPolicyLengthNoAES/len_11-8        	      10	 149563095 ns/op	    3848 B/op	      14 allocs/op
BenchmarkEncryptKeyWithIncreasingPolicyLengthNoAES/len_12-8        	      10	 161291374 ns/op	    4464 B/op	      14 allocs/op
BenchmarkEncryptKeyWithIncreasingPolicyLengthNoAES/len_13-8        	      10	 176359160 ns/op	    4464 B/op	      14 allocs/op
BenchmarkEncryptKeyWithIncreasingPolicyLengthNoAES/len_14-8        	      10	 180048516 ns/op	    5232 B/op	      14 allocs/op
BenchmarkEncryptKeyWithIncreasingPolicyLengthNoAES/len_15-8        	      10	 189859326 ns/op	    5232 B/op	      14 allocs/op
BenchmarkEncryptKeyWithIncreasingPolicyLengthNoAES/len_16-8        	      10	 199651301 ns/op	    5232 B/op	      14 allocs/op
BenchmarkEncryptKeyWithIncreasingPolicyLengthNoAES/len_17-8        	       5	 209330767 ns/op	    5744 B/op	      14 allocs/op
BenchmarkEncryptKeyWithIncreasingPolicyLengthNoAES/len_18-8        	       5	 213521797 ns/op	    5744 B/op	      14 allocs/op
BenchmarkEncryptKeyWithIncreasingPolicyLengthNoAES/len_19-8        	       5	 233849013 ns/op	    6512 B/op	      14 allocs/op
BenchmarkEncryptKeyWithIncreasingPolicyLengthNoAES/len_20-8        	       5	 239378404 ns/op	    6512 B/op	      14 allocs/op
BenchmarkEncryptKeyWithIncreasingPolicyLengthNoAES/len_21-8        	       5	 250734585 ns/op	    6896 B/op	      14 allocs/op
BenchmarkEncryptKeyWithIncreasingPolicyLengthNoAES/len_22-8        	       5	 256590599 ns/op	    6896 B/op	      14 allocs/op
BenchmarkEncryptKeyWithIncreasingPolicyLengthNoAES/len_23-8        	       5	 272472374 ns/op	    7152 B/op	      14 allocs/op
BenchmarkEncryptKeyWithIncreasingPolicyLengthNoAES/len_24-8        	       5	 279026656 ns/op	    8560 B/op	      14 allocs/op
BenchmarkEncryptKeyWithIncreasingPolicyLengthNoAES/len_25-8        	       5	 286704004 ns/op	    8560 B/op	      14 allocs/op
BenchmarkEncryptKeyWithIncreasingPolicyLengthNoAES/len_26-8        	       5	 308985032 ns/op	    8560 B/op	      14 allocs/op
BenchmarkEncryptKeyWithIncreasingPolicyLengthNoAES/len_27-8        	       5	 314757851 ns/op	    8560 B/op	      14 allocs/op
BenchmarkEncryptKeyWithIncreasingPolicyLengthNoAES/len_28-8        	       5	 322328911 ns/op	    9840 B/op	      14 allocs/op
BenchmarkEncryptKeyWithIncreasingPolicyLengthNoAES/len_29-8        	       3	 337547589 ns/op	    9840 B/op	      14 allocs/op
BenchmarkEncryptKeyWithIncreasingPolicyLengthNoAES/len_30-8        	       3	 353106696 ns/op	    9840 B/op	      14 allocs/op
BenchmarkEncryptKeyWithIncreasingPolicyLengthNoAES/len_31-8        	       3	 351897163 ns/op	    9840 B/op	      14 allocs/op
BenchmarkEncryptKeyWithIncreasingPolicyLengthNoAES/len_32-8        	       3	 372145090 ns/op	    9840 B/op	      14 allocs/op
BenchmarkEncryptKeyWithIncreasingPolicyLengthNoAES/len_33-8        	       3	 382850681 ns/op	   10096 B/op	      14 allocs/op
BenchmarkEncryptKeyWithIncreasingPolicyLengthNoAES/len_34-8        	       3	 392130410 ns/op	   10608 B/op	      14 allocs/op
BenchmarkEncryptKeyWithIncreasingPolicyLengthNoAES/len_35-8        	       3	 391250222 ns/op	   10608 B/op	      14 allocs/op
BenchmarkEncryptKeyWithIncreasingPolicyLengthNoAES/len_36-8        	       3	 404576407 ns/op	   11248 B/op	      14 allocs/op
