benchmark	iter	ns/op	B/op	allocs/op
BenchmarkGenerateSK/len_1-8         	      30	  40263789 ns/op	     632 B/op	      12 allocs/op
BenchmarkGenerateSK/len_2-8         	      20	  56834593 ns/op	     948 B/op	      13 allocs/op
BenchmarkGenerateSK/len_3-8         	      20	  64274035 ns/op	    1272 B/op	      14 allocs/op
BenchmarkGenerateSK/len_4-8         	      20	  72494347 ns/op	    1544 B/op	      15 allocs/op
BenchmarkGenerateSK/len_5-8         	      20	  85220073 ns/op	    1816 B/op	      16 allocs/op
BenchmarkGenerateSK/len_6-8         	      20	  92432808 ns/op	    2088 B/op	      17 allocs/op
BenchmarkGenerateSK/len_7-8         	      20	 100029733 ns/op	    2616 B/op	      18 allocs/op
BenchmarkGenerateSK/len_8-8         	      10	 109244674 ns/op	    3016 B/op	      19 allocs/op
BenchmarkGenerateSK/len_9-8         	      10	 116541709 ns/op	    3032 B/op	      20 allocs/op
BenchmarkGenerateSK/len_10-8        	      10	 127712495 ns/op	    3432 B/op	      21 allocs/op
BenchmarkGenerateSK/len_11-8        	      10	 139633896 ns/op	    3600 B/op	      22 allocs/op
BenchmarkGenerateSK/len_12-8        	      10	 148547921 ns/op	    3848 B/op	      23 allocs/op
BenchmarkGenerateSK/len_13-8        	      10	 182857411 ns/op	    4504 B/op	      24 allocs/op
BenchmarkGenerateSK/len_14-8        	      10	 186591543 ns/op	    4520 B/op	      25 allocs/op
BenchmarkGenerateSK/len_15-8        	      10	 188583586 ns/op	    5304 B/op	      26 allocs/op
BenchmarkGenerateSK/len_16-8        	      10	 198037771 ns/op	    5320 B/op	      27 allocs/op
BenchmarkGenerateSK/len_17-8        	       5	 202750573 ns/op	    5384 B/op	      29 allocs/op
BenchmarkGenerateSK/len_18-8        	       5	 220128093 ns/op	    5864 B/op	      29 allocs/op
BenchmarkGenerateSK/len_19-8        	       5	 234741197 ns/op	    5880 B/op	      30 allocs/op
BenchmarkGenerateSK/len_20-8        	       5	 238396534 ns/op	    6664 B/op	      31 allocs/op
BenchmarkGenerateSK/len_21-8        	       5	 253426807 ns/op	    6680 B/op	      32 allocs/op
BenchmarkGenerateSK/len_22-8        	       5	 260706381 ns/op	    7080 B/op	      33 allocs/op
BenchmarkGenerateSK/len_23-8        	       5	 264025104 ns/op	    7096 B/op	      34 allocs/op
BenchmarkGenerateSK/len_24-8        	       5	 270831857 ns/op	    7368 B/op	      35 allocs/op
BenchmarkGenerateSK/len_25-8        	       5	 297813108 ns/op	    8792 B/op	      36 allocs/op
BenchmarkGenerateSK/len_26-8        	       5	 292458341 ns/op	    8808 B/op	      37 allocs/op
BenchmarkGenerateSK/len_27-8        	       5	 370186352 ns/op	    8824 B/op	      38 allocs/op
BenchmarkGenerateSK/len_28-8        	       5	 334553711 ns/op	    8840 B/op	      39 allocs/op
BenchmarkGenerateSK/len_29-8        	       5	 326222554 ns/op	    8856 B/op	      40 allocs/op
BenchmarkGenerateSK/len_30-8        	       3	 333517366 ns/op	   10152 B/op	      41 allocs/op
BenchmarkGenerateSK/len_31-8        	       3	 341641825 ns/op	   10168 B/op	      42 allocs/op
BenchmarkGenerateSK/len_32-8        	       3	 368210852 ns/op	   10184 B/op	      43 allocs/op
BenchmarkGenerateSK/len_33-8        	       3	 368288792 ns/op	   10200 B/op	      44 allocs/op
BenchmarkGenerateSK/len_34-8        	       3	 385404262 ns/op	   10472 B/op	      45 allocs/op
BenchmarkGenerateSK/len_35-8        	       3	 385178324 ns/op	   11000 B/op	      46 allocs/op
BenchmarkGenerateSK/len_36-8        	       3	 401581108 ns/op	   11016 B/op	      47 allocs/op
BenchmarkGenerateSK/len_37-8        	       3	 408648486 ns/op	   11672 B/op	      48 allocs/op
BenchmarkGenerateSK/len_38-8        	       3	 453871035 ns/op	   11688 B/op	      49 allocs/op
BenchmarkGenerateSK/len_39-8        	       3	 431433780 ns/op	   11704 B/op	      50 allocs/op
BenchmarkGenerateSK/len_40-8        	       3	 449300399 ns/op	   13128 B/op	      51 allocs/op
BenchmarkGenerateSK/len_41-8        	       3	 446509725 ns/op	   13144 B/op	      52 allocs/op
BenchmarkGenerateSK/len_42-8        	       3	 476240827 ns/op	   13160 B/op	      53 allocs/op
BenchmarkGenerateSK/len_43-8        	       3	 470508137 ns/op	   13176 B/op	      54 allocs/op
BenchmarkGenerateSK/len_44-8        	       3	 483356115 ns/op	   13192 B/op	      55 allocs/op
BenchmarkGenerateSK/len_45-8        	       2	 563252425 ns/op	   14488 B/op	      56 allocs/op
BenchmarkGenerateSK/len_46-8        	       2	 501335233 ns/op	   14504 B/op	      57 allocs/op
BenchmarkGenerateSK/len_47-8        	       2	 500559345 ns/op	   14520 B/op	      58 allocs/op
BenchmarkGenerateSK/len_48-8        	       2	 515292539 ns/op	   14536 B/op	      59 allocs/op
BenchmarkGenerateSK/len_49-8        	       2	 540716465 ns/op	   15320 B/op	      60 allocs/op
BenchmarkGenerateSK/len_50-8        	       2	 536536334 ns/op	   15336 B/op	      61 allocs/op
